compound,Tc,source
Pb3O4,"[1.13, 2.2]","['10.1016/j.culher.2020.04.014', '10.1016/j.culher.2020.04.014']"
GeO2,"[1.259, 1.259, 1.8, 1.8, 4.68, 10.0]","['10.1016/j.solidstatesciences.2010.07.025', '10.1016/j.sse.2013.01.028', '10.1016/j.solidstatesciences.2010.07.025', '10.1016/j.solidstatesciences.2010.07.025', '10.1016/j.solidstatesciences.2010.07.025', '10.1016/j.susc.2007.12.040']"
VCo2B,[0.63],['10.1016/j.ssc.2021.114426']
La,"[1.38, 3.89]","['10.1016/j.jlumin.2015.11.033', '10.1016/j.mssp.2021.106122']"
CaF2,"[5.49, 7.14, 12.0, 12.3]","['10.1016/j.jlumin.2015.11.033', '10.1016/j.commatsci.2009.06.011', '10.1016/j.ijleo.2018.02.054', '10.1016/j.ssc.2020.113995']"
YPO4,[9.0],['10.1016/j.jlumin.2015.11.033']
LaSi3N5,"[2.0, 3.175, 4.68, 4.68, 4.78, 4.78, 4.8, 5.2]","['10.1016/j.jlumin.2015.11.033', '10.1016/j.jlumin.2015.11.033', '10.1016/j.jlumin.2015.03.035', '10.1016/j.jlumin.2015.03.035', '10.1016/j.jeurceramsoc.2015.02.028', '10.1016/j.jeurceramsoc.2015.02.028', '10.1016/j.jlumin.2015.11.033', '10.1016/j.jeurceramsoc.2015.02.028']"
Lu,"[0.92, 4.7]","['10.1016/j.jlumin.2015.11.033', '10.1016/j.jlumin.2015.11.033']"
PuO2,"[1.8, 1.8, 1.8, 2.8, 3.92, 3.92]","['10.1016/j.apsusc.2021.149559', '10.1016/j.apsusc.2021.149559', '10.1016/j.jnucmat.2018.08.055', '10.1016/j.jnucmat.2018.08.055', '10.1016/j.jallcom.2020.157592', '10.1016/j.jnucmat.2015.11.009']"
CaMnO3,"[0.052500000000000005, 0.052500000000000005, 0.7, 0.7, 0.7, 0.7, 0.7, 0.804]","['10.1016/j.physb.2011.01.011', '10.1016/j.physb.2011.01.011', '10.1016/j.jallcom.2011.01.032', '10.1016/j.jallcom.2011.01.032', '10.1016/j.jallcom.2010.09.102', '10.1016/j.jallcom.2010.09.102', '10.1016/j.jallcom.2010.09.102', '10.1016/j.jmrt.2020.04.050']"
ScBi(PbO3)2,"[2.171, 2.171]","['10.1016/j.cplett.2022.139987', '10.1016/j.cplett.2022.139987']"
MgSiP2,"[0.51, 1.2, 2.35]","['10.1016/j.cclet.2020.08.042', '10.1016/j.cclet.2020.08.042', '10.1016/j.cocom.2020.e00490']"
TiIn2O5,[3.02],['10.1016/j.mseb.2007.01.030']
BP,"[0.227, 0.254, 0.254, 0.275, 0.3, 0.3, 0.34, 0.41, 0.419, 0.47, 0.87, 0.87, 0.9, 0.9, 0.92, 0.94, 1.175, 1.6, 1.75, 1.75, 2.01, 2.85, 3.76, 3.76, 3.76, 4.98, 5.11]","['10.1016/j.apsusc.2019.144488', '10.1016/j.elspec.2016.12.001', '10.1016/j.physe.2018.05.027', '10.1016/j.physleta.2019.05.057', '10.1016/j.jlumin.2022.119256', '10.1016/j.cap.2016.11.023', '10.1016/j.jmmm.2018.06.052', '10.1016/j.nantod.2016.10.003', '10.1016/j.apsusc.2021.151196', '10.1016/j.apsusc.2021.151196', '10.1016/j.apsusc.2021.151196', '10.1016/j.commatsci.2017.12.026', '10.1016/j.commatsci.2017.12.026', '10.1016/j.chemphys.2020.111054', '10.1016/j.chemphys.2020.111054', '10.1016/j.fuel.2022.126213', '10.1016/j.mtcomm.2022.104227', '10.1016/j.snb.2017.10.132', '10.1016/j.physe.2021.114701', '10.1016/j.physe.2021.114701', '10.1016/j.jlumin.2022.119256', '10.1016/j.jlumin.2022.119256', '10.1016/j.jlumin.2022.119256', '10.1016/j.jpcs.2014.05.005', '10.1016/j.jpcs.2014.05.005', '10.1016/j.nanoen.2020.105148', '10.1016/j.commatsci.2021.110501', '10.1016/j.physleta.2019.125945']"
Si2MoN4,"[0.56, 1.77, 1.79, 1.89, 1.92, 1.94, 1.94, 1.94, 1.94, 2.297, 2.35, 2.61, 4.72, 5.37]","['10.1016/j.physe.2021.114964', '10.1016/j.jpcs.2021.110494', '10.1016/j.cej.2022.138198', '10.1016/j.cej.2022.138198', '10.1016/j.physe.2022.115321', '10.1016/j.physe.2022.115321', '10.1016/j.physe.2021.114873', '10.1016/j.physe.2021.114873', '10.1016/j.physe.2021.114873', '10.1016/j.physleta.2021.127751', '10.1016/j.rinp.2021.104864', '10.1016/j.rinp.2021.104864', '10.1016/j.apsusc.2022.153131', '10.1016/j.apsusc.2022.153131']"
SrTiO,[3.2],['10.1016/j.susc.2015.04.020']
Li2O,[4.5],['10.1016/j.jallcom.2016.01.070']
CdS,"[0.39, 1.05, 1.08, 1.152, 1.24, 1.327, 1.37, 1.45, 1.7, 1.717, 1.724, 1.997, 2.12, 2.13, 2.22, 2.24, 2.29, 2.3, 2.31, 2.335, 2.38, 2.38, 2.39, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.42, 2.42, 2.42, 2.42, 2.42, 2.42, 2.42, 2.42, 2.42, 2.44, 2.48, 2.48, 2.52, 2.9, 3.0, 3.264, 3.475, 3.9, 4.8]","['10.1016/j.physb.2018.06.035', '10.1016/j.physb.2011.01.051', '10.1016/j.physb.2011.01.051', '10.1016/j.physb.2013.02.009', '10.1016/S0040-6090(03)00671-0', '10.1016/S0038-1098(99)00306-3', '10.1016/j.cocom.2021.e00590', '10.1016/j.mtcomm.2020.101882', '10.1016/j.mssp.2016.01.012', '10.1016/j.mssp.2016.01.012', '10.1016/j.materresbull.2015.11.023', '10.1016/j.cej.2022.140791', '10.1016/j.jallcom.2020.154965', '10.1016/j.colsurfa.2022.128559', '10.1016/j.jcis.2019.04.075', '10.1016/j.matlet.2008.02.027', '10.1016/j.ijleo.2019.05.030', '10.1016/j.matchemphys.2016.05.006', '10.1016/j.matchemphys.2016.05.006', '10.1016/j.ssc.2011.07.042', '10.1016/j.mseb.2023.116487', '10.1016/j.rinp.2020.103058', '10.1016/j.rinp.2020.103058', '10.1016/j.jmmm.2016.12.030', '10.1016/j.jmmm.2009.10.051', '10.1016/j.physb.2019.08.003', '10.1016/j.cocom.2021.e00572', '10.1016/S0965-9773(99)00042-2', '10.1016/j.jallcom.2010.02.090', '10.1016/j.physb.2018.06.035', '10.1016/j.cap.2020.06.004', '10.1016/j.mssp.2016.01.012', '10.1016/j.mssp.2016.01.012', '10.1016/j.jallcom.2020.154965', '10.1016/j.jallcom.2020.154965', '10.1016/j.jallcom.2020.154965', '10.1016/j.physe.2022.115559', '10.1016/j.jcis.2019.04.075', '10.1016/j.ijhydene.2018.06.006', '10.1016/j.ijhydene.2018.06.006', '10.1016/j.mtcomm.2022.103394', '10.1016/j.rinp.2020.103058', '10.1016/j.rinp.2020.103058', '10.1016/j.rinp.2020.103058', '10.1016/j.rinp.2020.103058', '10.1016/j.rinp.2020.103058', '10.1016/S0921-5107(98)00435-8', '10.1016/S0921-5107(98)00435-8', '10.1016/j.ijleo.2020.164567']"
Sb2O3,"[3.3, 3.33, 3.7, 3.83]","['10.1016/j.jallcom.2016.04.026', '10.1016/j.jssc.2014.02.014', '10.1016/j.jssc.2014.02.014', '10.1016/j.jallcom.2021.160586']"
Ba2LaIrO6,"[0.1, 0.1]","['10.1016/j.jallcom.2007.03.098', '10.1016/j.jallcom.2007.03.098']"
TbMn2O5,[0.2],['10.1016/j.jpcs.2011.04.016']
Be3P2,[1.0499999999999998],['10.1016/j.jpcs.2020.109575']
Be3N2,"[3.31, 3.79, 3.8, 4.79, 12.5]","['10.1016/j.jpcs.2020.109575', '10.1016/j.jpcs.2020.109575', '10.1016/j.jpcs.2020.109575', '10.1016/j.jpcs.2020.109575', '10.1016/S0022-3697(97)00211-4']"
CdSe,"[0.51, 0.75, 0.95, 1.05, 1.24, 1.354, 1.375, 1.39, 1.43, 1.48, 1.524, 1.6749999999999998, 1.69, 1.7, 1.7, 1.73, 1.76, 1.76, 1.8, 1.85, 1.89, 2.38, 2.4, 3.95, 6.8, 7.825]","['10.1016/j.jpcs.2020.109575', '10.1016/j.solener.2020.10.015', '10.1016/j.msec.2017.03.210', '10.1016/j.msec.2017.03.210', '10.1016/S0254-0584(03)00192-5', '10.1016/S0921-4526(99)00396-8', '10.1016/j.mssp.2018.09.021', '10.1016/j.spmi.2015.04.031', '10.1016/j.ultramic.2007.07.008', '10.1016/j.physleta.2014.10.035', '10.1016/j.chemphys.2021.111164', '10.1016/j.chemphys.2021.111164', '10.1016/j.jpcs.2018.01.011', '10.1016/j.cjph.2019.05.026', '10.1016/j.solener.2020.10.015', '10.1016/j.solener.2020.10.015', '10.1016/j.solener.2020.10.015', '10.1016/j.commatsci.2017.09.024', '10.1016/j.commatsci.2017.09.024', '10.1016/j.jallcom.2013.07.096', '10.1016/j.physe.2022.115559', '10.1016/j.physe.2022.115559', '10.1016/j.susc.2017.02.001', '10.1016/j.susc.2017.02.001', '10.1016/j.tsf.2005.08.268', '10.1016/j.spmi.2012.02.017', '10.1016/j.chemphys.2012.09.005']"
Li2O2,"[1.3, 1.6, 2.02]","['10.1016/j.cattod.2010.12.022', '10.1016/j.cattod.2010.12.022', '10.1016/j.nanoen.2021.106549']"
BaZnPF,"[0.5, 1.43, 2.71, 3.13]","['10.1016/j.cocom.2023.e00809', '10.1016/j.cocom.2023.e00809', '10.1016/j.cocom.2023.e00809', '10.1016/j.cocom.2023.e00809']"
LaFeO3,"[0.45, 2.08, 2.1, 3.13, 3.24]","['10.1016/j.ijhydene.2022.12.327', '10.1016/j.progsolidstchem.2020.100284', '10.1016/j.jpowsour.2019.227476', '10.1016/j.mtcomm.2021.102217', '10.1016/j.mtcomm.2021.102217']"
CsK2Sb,[1.012],['10.1016/j.ssc.2022.114960']
CeO2,"[0.22, 1.2, 1.69, 1.9, 2.0, 2.297, 2.38, 2.51, 2.88, 2.9, 2.919, 3.0, 3.0, 3.06, 3.1, 3.1, 3.151, 3.2, 3.2, 3.23, 3.23, 3.35, 3.35, 3.4, 5.69, 6.0, 6.0, 6.5]","['10.1016/j.mssp.2021.105800', '10.1016/j.mssp.2022.107125', '10.1016/j.ceramint.2021.09.281', '10.1016/j.matchemphys.2019.121816', '10.1016/j.jallcom.2016.02.075', '10.1016/j.nimb.2004.12.092', '10.1016/j.jcis.2019.04.075', '10.1016/j.jcis.2019.04.075', '10.1016/j.physe.2020.114025', '10.1016/j.ssc.2016.01.011', '10.1016/j.commatsci.2021.110696', '10.1016/j.jpcs.2022.110820', '10.1016/j.jpcs.2022.110820', '10.1016/j.ceramint.2021.04.133', '10.1016/j.commatsci.2014.11.033', '10.1016/j.commatsci.2014.11.033', '10.1016/j.mtla.2021.101050', '10.1016/j.mtla.2021.101050', '10.1016/j.cplett.2022.139464', '10.1016/j.physb.2023.414671', '10.1016/j.jallcom.2016.02.075', '10.1016/j.jallcom.2016.02.075', '10.1016/j.jcis.2019.04.075', '10.1016/j.ssc.2016.01.011', '10.1016/j.vacuum.2019.109075', '10.1016/j.vacuum.2019.109075', '10.1016/j.ceramint.2021.04.133', '10.1016/j.commatsci.2011.03.006']"
BeO,"[0.54, 0.544, 4.013, 4.166, 4.436, 5.64, 5.752, 6.4, 7.2, 7.2, 10.0, 10.0]","['10.1016/j.spmi.2021.107102', '10.1016/j.jmmm.2012.11.001', '10.1016/j.jpcs.2014.10.021', '10.1016/j.jmmm.2018.08.019', '10.1016/j.physb.2011.12.025', '10.1016/j.spmi.2021.107102', '10.1016/j.jpcs.2014.10.021', '10.1016/j.jpcs.2014.10.021', '10.1016/j.jpcs.2014.10.021', '10.1016/j.jpcs.2014.10.021', '10.1016/j.matpr.2020.05.212', '10.1016/j.commatsci.2016.01.032']"
ZnSnO3,"[1.0, 1.0, 1.0, 1.0, 1.669, 2.42, 2.42, 2.42, 2.42, 2.52]","['10.1016/j.physb.2010.11.046', '10.1016/j.physb.2010.11.046', '10.1016/j.physb.2010.11.046', '10.1016/j.molliq.2017.05.011', '10.1016/j.matchemphys.2016.05.041', '10.1016/j.matchemphys.2016.05.041', '10.1016/j.ssc.2009.07.009', '10.1016/j.ssc.2009.07.009', '10.1016/j.commatsci.2010.05.049', '10.1016/j.commatsci.2010.05.049']"
CdWO4,"[2.08, 3.2, 3.79, 3.8, 4.2, 5.02]","['10.1016/j.physb.2017.02.009', '10.1016/j.physb.2017.02.009', '10.1016/j.physb.2017.02.009', '10.1016/j.physb.2017.02.009', '10.1016/j.jssc.2010.12.013', '10.1016/j.jssc.2010.12.013']"
N2,"[0.205, 0.69, 0.707, 1.2, 1.201, 1.36, 2.38, 2.4, 2.99, 3.12, 3.84, 5.44, 6.2]","['10.1016/j.ssc.2010.12.006', '10.1016/j.ssc.2010.12.006', '10.1016/j.physb.2022.414437', '10.1016/j.physe.2019.113841', '10.1016/j.carbon.2017.06.049', '10.1016/S0927-796X(00)00028-0', '10.1016/j.jallcom.2017.06.343', '10.1016/j.jpcs.2018.10.006', '10.1016/j.physleta.2008.09.044', '10.1016/j.jmmm.2022.169895', '10.1016/j.jssc.2008.08.012', '10.1016/j.catcom.2012.10.014', '10.1016/j.catcom.2012.10.014']"
K2BaPO4F,"[4.79, 6.16]","['10.1016/j.inoche.2018.05.013', '10.1016/j.inoche.2018.05.013']"
In4Se3,"[0.29, 0.29]","['10.1016/j.jallcom.2013.11.189', '10.1016/j.jallcom.2013.11.189']"
TaBiO4,[2.3],['10.1016/j.ijhydene.2009.02.053']
SnPHO3,[4.2],['10.1016/j.jcis.2016.04.052']
BiClO,"[1.59, 1.7, 3.1, 3.13, 3.2, 3.22, 3.3, 3.3, 3.3, 3.3, 3.3, 3.4, 3.46, 3.51, 3.51, 3.6, 3.61, 3.66]","['10.1016/j.materresbull.2022.112045', '10.1016/j.commatsci.2021.111088', '10.1016/j.commatsci.2021.111088', '10.1016/j.commatsci.2021.111088', '10.1016/j.commatsci.2021.111088', '10.1016/j.commatsci.2021.111088', '10.1016/j.physb.2012.08.002', '10.1016/j.molcata.2016.06.007', '10.1016/j.cej.2021.132028', '10.1016/j.mseb.2020.114921', '10.1016/j.physb.2012.04.039', '10.1016/j.physb.2012.04.039', '10.1016/j.molcata.2016.06.007', '10.1016/j.molcata.2016.06.007', '10.1016/j.jallcom.2023.170235', '10.1016/j.commatsci.2009.05.016', '10.1016/j.apcatb.2006.08.002', '10.1016/j.commatsci.2008.03.005']"
SrTiO3,"[1.159, 1.44, 1.44, 1.44, 1.78, 1.8, 1.8, 1.8, 1.83, 1.84, 1.88, 1.92, 1.93, 2.02, 2.03, 2.199, 2.2, 2.2, 2.31, 2.32, 2.5, 2.6, 2.74, 3.0, 3.0, 3.03, 3.1, 3.1, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.22, 3.28, 3.287, 3.49, 3.5, 3.7, 7.7]","['10.1016/j.scriptamat.2021.113725', '10.1016/j.commatsci.2013.06.009', '10.1016/j.physb.2011.01.042', '10.1016/j.physb.2011.01.042', '10.1016/j.cjph.2019.09.036', '10.1016/j.physb.2012.08.038', '10.1016/j.physb.2012.08.038', '10.1016/j.physb.2012.08.038', '10.1016/j.physb.2012.08.038', '10.1016/j.ssi.2012.09.013', '10.1016/j.ijhydene.2018.10.072', '10.1016/j.ijhydene.2018.10.072', '10.1016/0921-5107(91)90017-P', '10.1016/j.ijhydene.2021.10.133', '10.1016/j.ceramint.2018.07.001', '10.1016/j.apsusc.2010.03.152', '10.1016/j.jpcs.2016.09.003', '10.1016/j.jpcs.2016.09.003', '10.1016/j.jpcs.2016.09.003', '10.1016/S0167-2738(99)00274-X', '10.1016/j.ijleo.2020.166128', '10.1016/j.ijleo.2020.166128', '10.1016/j.susc.2004.11.008', '10.1016/j.jssc.2006.08.014', '10.1016/j.ssc.2012.08.027', '10.1016/j.ssc.2009.09.048', '10.1016/j.commatsci.2013.06.009', '10.1016/0921-5107(91)90017-P', '10.1016/0921-5107(91)90017-P', '10.1016/j.ijleo.2020.166128', '10.1016/j.ijleo.2020.166128', '10.1016/j.physb.2012.05.025', '10.1016/j.physb.2012.05.025', '10.1016/j.physb.2012.05.025', '10.1016/j.susc.2007.08.001', '10.1016/j.susc.2007.08.001', '10.1016/j.ssc.2020.113893', '10.1016/j.ssc.2020.113893', '10.1016/j.ssc.2012.08.027', '10.1016/j.ssc.2012.08.027', '10.1016/j.physb.2013.03.014', '10.1016/j.physb.2013.03.014', '10.1016/j.mejo.2005.03.001']"
Ta2O5,"[3.4, 3.9, 4.0, 4.3, 4.5]","['10.1016/j.apsusc.2020.145767', '10.1016/S0013-4686(98)00396-X', '10.1016/j.jallcom.2017.05.119', '10.1016/j.cplett.2010.10.001', '10.1016/j.cplett.2010.10.001']"
AgSbTe2,"[0.22499999999999998, 0.22499999999999998, 0.242, 0.35, 0.71]","['10.1016/j.physb.2012.04.011', '10.1016/j.physb.2012.04.011', '10.1016/j.cap.2020.06.004', '10.1016/j.cap.2020.06.004', '10.1016/j.cap.2020.06.004']"
LiSbTe2,"[4.46, 4.46]","['10.1016/S0301-0104(00)00116-6', '10.1016/S0301-0104(00)00116-6']"
TeSe2,"[0.53, 0.94]","['10.1016/j.cplett.2018.07.050', '10.1016/j.cplett.2018.07.050']"
YFeO3,[2.57],['10.1016/j.mssp.2015.02.015']
ScCrCoBi,[0.11],['10.1016/j.solidstatesciences.2019.106018']
MgClF,[5.61],['10.1016/j.cocom.2023.e00802']
MgI2,"[3.345, 3.345, 3.68]","['10.1016/j.cocom.2023.e00802', '10.1016/j.mssp.2022.106791', '10.1016/j.mssp.2022.106791']"
Li2MnSiO4,[3.4],['10.1016/j.commatsci.2008.08.014']
LiMnSiO4,"[0.5, 0.57]","['10.1016/j.commatsci.2008.08.014', '10.1016/j.electacta.2020.137553']"
LiSiNiO4,[0.7],['10.1016/j.commatsci.2008.08.014']
AlHC2,"[3.57, 3.57]","['10.1016/j.jms.2009.04.014', '10.1016/j.jms.2009.04.014']"
C,"[0.036, 0.05, 0.076, 0.1, 0.12, 0.2, 0.26, 0.35, 0.393, 0.46, 0.5, 0.59, 0.6, 0.65, 0.7, 0.75, 0.776, 0.8, 0.85, 1.01, 1.07, 1.08, 1.1, 1.1, 1.1, 1.148, 1.16, 1.19, 1.2, 1.3, 1.309, 1.4, 1.41, 1.41, 1.44, 1.54, 1.57, 1.57, 1.59, 1.59, 1.6, 1.6, 1.621, 1.662, 1.7, 1.7, 1.738, 1.75, 1.7937, 1.8, 1.8, 1.8, 1.8, 1.8, 1.86, 1.9, 2.0, 2.0, 2.0, 2.1, 2.1, 2.11, 2.1335, 2.2, 2.2, 2.2, 2.3, 2.3, 2.37, 2.4, 2.5, 2.5, 2.53, 2.54618, 2.6, 2.6, 2.6, 2.62, 2.67, 2.737, 2.76, 2.77, 2.834, 2.84, 2.9, 2.97, 3.25, 3.3, 3.3, 3.3, 3.345, 3.47, 3.8, 4.15, 4.38, 4.43, 5.44, 5.44, 5.441, 5.448, 5.5, 5.657, 5.839, 6.76, 8.3]","['10.1016/j.jelechem.2008.08.001', '10.1016/j.jct.2017.08.019', '10.1016/j.elspec.2004.09.024', '10.1016/j.jmgm.2022.108263', '10.1016/j.diamond.2017.06.013', '10.1016/j.jssc.2019.06.043', '10.1016/j.diamond.2005.04.004', '10.1016/j.physb.2011.05.039', '10.1016/j.jssc.2020.121894', '10.1016/j.jssc.2020.121894', '10.1016/j.jssc.2020.121894', '10.1016/j.comptc.2012.06.001', '10.1016/j.apsusc.2019.01.093', '10.1016/j.orgel.2010.07.023', '10.1016/j.cplett.2007.10.012', '10.1016/j.susc.2022.122146', '10.1016/j.diamond.2019.107526', '10.1016/j.jallcom.2016.11.197', '10.1016/j.chemphys.2021.111441', '10.1016/j.physe.2014.11.008', '10.1016/j.apsusc.2021.152270', '10.1016/j.apsusc.2021.152270', '10.1016/j.diamond.2003.08.029', '10.1016/j.chemphys.2023.111838', '10.1016/j.chemphys.2023.111838', '10.1016/S0379-6779(99)00044-2', '10.1016/0921-4534(92)90936-7', '10.1016/j.physb.2004.08.007', '10.1016/j.comptc.2012.01.037', '10.1016/j.commatsci.2020.109529', '10.1016/j.comptc.2022.113784', '10.1016/j.tsf.2010.12.010', '10.1016/j.surfin.2022.102067', '10.1016/j.surfin.2022.102067', '10.1016/j.diamond.2012.07.006', '10.1016/j.diamond.2012.07.006', '10.1016/j.physleta.2018.08.019', '10.1016/j.jssc.2016.08.027', '10.1016/j.cplett.2003.09.062', '10.1016/j.carbon.2014.06.027', '10.1016/j.carbon.2014.06.027', '10.1016/j.physleta.2019.125933', '10.1016/S0009-2614(02)01914-0', '10.1016/S0304-3991(01)00123-1', '10.1016/j.commatsci.2022.111520', '10.1016/j.materresbull.2017.09.036', '10.1016/j.commatsci.2014.10.041', '10.1016/S0009-2614(03)00406-8', '10.1016/j.ijleo.2022.170185', '10.1016/j.ssc.2012.09.024', '10.1016/j.mseb.2023.116423', '10.1016/j.cplett.2017.12.010', '10.1016/j.carbon.2011.07.021', '10.1016/j.ssc.2012.02.013', '10.1016/j.jmgm.2018.02.009', '10.1016/j.jmgm.2018.02.009', '10.1016/j.commatsci.2022.111956', '10.1016/S0022-3697(00)00079-2', '10.1016/j.apsusc.2022.155857', '10.1016/j.comptc.2017.10.015', '10.1016/j.comptc.2017.10.015', '10.1016/j.cplett.2019.01.030', '10.1016/j.cplett.2015.03.017', '10.1016/j.tsf.2008.05.051', '10.1016/0379-6779(93)90076-9', '10.1016/j.carbon.2020.09.028', '10.1016/j.comptc.2021.113185', '10.1016/j.poly.2017.06.032', '10.1016/j.carbon.2016.02.061', '10.1016/j.spmi.2019.106217', '10.1016/j.cplett.2020.137565', '10.1016/j.commatsci.2011.12.005', '10.1016/j.solidstatesciences.2010.07.003', '10.1016/j.physe.2012.08.010', '10.1016/j.cplett.2020.137097', '10.1016/j.cplett.2020.137097', '10.1016/j.jssc.2013.01.026', '10.1016/j.jics.2022.100870', '10.1016/j.jics.2022.100870', '10.1016/j.poly.2020.115005', '10.1016/j.diamond.2005.04.004', '10.1016/S0925-9635(01)00604-5', '10.1016/j.jmgm.2008.01.003', '10.1016/j.cplett.2007.10.012', '10.1016/j.cplett.2007.10.012', '10.1016/j.molliq.2022.120855', '10.1016/j.synthmet.2017.04.020', '10.1016/j.diamond.2003.08.029', '10.1016/j.physb.2019.08.008', '10.1016/j.diamond.2007.12.024', '10.1016/j.comptc.2012.09.026', '10.1016/j.cplett.2004.01.115', '10.1016/S0038-1098(01)00030-8', '10.1016/S0038-1098(01)00030-8', '10.1016/S0304-3991(01)00123-1', '10.1016/j.materresbull.2017.09.036', '10.1016/j.physb.2008.04.013', '10.1016/j.physb.2008.04.013', '10.1016/j.elspec.2012.10.010', '10.1016/j.elspec.2012.10.010', '10.1016/j.comptc.2020.113123', '10.1016/j.jmgm.2018.02.009', '10.1016/j.chemphys.2017.11.021', '10.1016/j.apsusc.2017.08.173', '10.1016/j.apsusc.2017.08.173', '10.1016/j.apsusc.2022.155857']"
BaTiO3,"[0.71, 0.8, 1.21, 1.29, 1.51, 1.58, 1.75, 1.788, 1.788, 1.788, 1.8, 1.81, 2.5, 2.732, 2.85, 2.96, 2.97, 3.0, 3.0, 3.1, 3.16, 3.2, 3.2, 3.2, 3.2, 3.2, 3.202, 3.202, 8.0]","['10.1016/j.mtcomm.2023.106035', '10.1016/j.vacuum.2021.110530', '10.1016/j.ijhydene.2015.02.002', '10.1016/j.jpcs.2022.111209', '10.1016/j.jpcs.2022.111209', '10.1016/j.ijleo.2020.164611', '10.1016/j.molstruc.2011.07.024', '10.1016/j.cjph.2019.06.013', '10.1016/j.jallcom.2023.169600', '10.1016/j.ceramint.2018.12.113', '10.1016/j.ceramint.2018.12.113', '10.1016/j.ceramint.2018.12.113', '10.1016/j.ceramint.2018.12.113', '10.1016/j.mtchem.2020.100384', '10.1016/S0272-8842(03)00066-X', '10.1016/j.progsolidstchem.2011.04.002', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.ssc.2005.04.004', '10.1016/j.jpcs.2022.111209', '10.1016/j.jpcs.2022.111209', '10.1016/j.susc.2004.11.008', '10.1016/j.jallcom.2023.169600', '10.1016/j.jallcom.2023.169600', '10.1016/j.progsolidstchem.2011.04.002']"
BiHC2O5,"[3.73, 3.73]","['10.1016/j.inoche.2014.12.005', '10.1016/j.inoche.2014.12.005']"
CsSrF3,[5.662],['10.1016/j.ijleo.2022.168741']
Zn16O15,[2.24],['10.1016/j.mtcomm.2021.102722']
Zn15CuO15,[2.068],['10.1016/j.mtcomm.2021.102722']
CaO,"[2.5, 2.619, 3.416, 3.647, 4.16, 5.93, 6.25, 6.25]","['10.1016/j.physleta.2021.127241', '10.1016/j.physleta.2021.127241', '10.1016/j.physleta.2021.127241', '10.1016/j.matpr.2021.12.237', '10.1016/j.ijleo.2020.165115', '10.1016/j.ijleo.2020.165115', '10.1016/j.matpr.2021.12.237', '10.1016/j.physb.2022.414216']"
Co,"[0.97, 1.06, 1.2, 1.3, 1.6, 1.97, 2.9, 3.28, 4.5]","['10.1016/j.cplett.2013.10.020', '10.1016/j.jssc.2022.122958', '10.1016/j.solidstatesciences.2007.03.008', '10.1016/S0039-6028(01)00922-0', '10.1016/j.chemphys.2021.111160', '10.1016/j.jallcom.2022.166116', '10.1016/j.jmmm.2022.169895', '10.1016/j.jpcs.2021.110501', '10.1016/j.physb.2018.04.022']"
SnH6CI3N,"[0.78, 0.78, 1.3, 3.0]","['10.1016/j.cplett.2019.137062', '10.1016/j.cplett.2019.137062', '10.1016/j.cplett.2019.137062', '10.1016/j.cplett.2019.137062']"
SnH6CBr3N,"[1.01, 2.15]","['10.1016/j.cplett.2019.137062', '10.1016/j.cplett.2019.137062']"
NaAlH4,"[3.65, 4.41489]","['10.1016/j.ijhydene.2014.02.162', '10.1016/j.ijhydene.2023.03.023']"
BeH8(NF2)2,[8.0],['10.1016/j.cap.2022.11.005']
