compound,Tc,source
CrAs,[260. 265. 265. 270. 878.],"['10.1016/j.mtcomm.2022.103604' '10.1016/j.physb.2022.413880'
 '10.1016/j.pmatsci.2021.100835'
 'Buschow - Concise Encyclopedia of Magnetic and Superconducting Materials'
 'Jo2016-PRB-94-184413']"
Sr2CrOsO6,[  5. 725. 725. 725.],"['10.1016/j.jpcs.2016.02.021' '10.1016/j.jssc.2007.12.021'
 '10.1016/j.physb.2018.04.018' 'Taylor2016-PRB-93-220408']"
Co3(SnS)2,"[126. 170. 172. 172. 173. 173. 174. 174. 174. 174. 174. 174. 175. 176.
 176. 176. 176. 177. 177. 177. 178.]","['10.1016/j.jallcom.2022.165089' '10.1016/j.jmmm.2020.166547'
 '10.1016/j.physb.2007.10.149' '10.1016/j.revip.2022.100072'
 'Belopolski2021-PRL-127-256403' 'Howard2021-NC-12-4269'
 'Hu2022-JACS-' 'Kanagaraj2022-RP-8-100072'
 'Kassem2015-JCG-426-208' 'Kassem2015-JCG-426-208'
 'Kassem2016PhD' 'Kassem2016PhD' 'Kassem2016PhD'
 'Kassem2016PhD' 'Kubodera2006-PB-378-1142'
 'Mangelis2017-JSSC-251-204' 'Rathod2022-PRM-6-084202'
 'Rossi2021-PRB-104-155115' 'Weihrich2015-DT-44-15855'
 'Yan2018-SSC-281-57' 'Zhang2022-JAC-911-165089']"
Gd3Pd,[325. 325.],['10.1016/S0304-8853(98)00245-5' '10.1016/S0304-8853(98)00245-5']
UGe2,"[  0.    2.   24.   50.   52.   52.   52.   52.   52.   52.   52.   52.
  52.   52.   52.   52.   52.   52.   52.   52.   52.   52.   52.   52.
  52.   52.   52.   52.   52.5  52.6  53.   53.   53.   53.   53.   53.
  53.   53.   53.   53.   53.   53.   53.   53.   53.   53.   53.   54.
  80.  122.  442. ]","['10.1016/S0921-4526(01)01212-1' '10.1016/S0921-4526(01)01212-1'
 '10.1016/S0921-4526(98)01023-0' '10.1016/S0921-4526(99)00967-9'
 '10.1016/S0921-4534(02)02660-6' '10.1016/S0925-8388(98)00122-4'
 '10.1016/j.jmmm.2003.12.1083' '10.1016/j.jmmm.2003.12.458'
 '10.1016/j.jmmm.2003.12.995' '10.1016/j.jmmm.2020.166987'
 '10.1016/j.physb.2005.01.285' 'Aoki2011-JPSJ-80-094711'
 'Aoki2014-CRP-15-630' 'Aoki2014-JPSJ-83-061011'
 'Combier2013-JPSJ-82-104705' 'Flouquet2011-JPCS-273-012001'
 'Galatanu2005-JPSJ-74-1582' 'Gehring2008-EPL-82-60004'
 'Guritanu2008-PRB-78-172406' 'Haga2002-JPCM-14-L125'
 'Hamedoun1986-JPCASSP-19-1783' 'Hardy2005-PB-359-1111'
 'Karchev2003-PRB-67-054416' 'Kernavanois2001-PRB-64-174509'
 'Kirita2003-JPSJ-72-2338' 'Kotegawa2011-JPSJ-80-083703'
 'Mineev2011-CRP-12-567' 'Mineev2012-JPCS-400-032053'
 'Mineev2012-JPCS-400-032053' 'Mineev2017-PU-60-121'
 'Mineev2017-PU-60-121' 'Motoyama2001-PRB-65-020510'
 'Pfleiderer2009-RMP-81-1551' 'Rana2019-PRB-99-214417'
 'Settai2002-JPCM-14-L29' 'Singh2017-PRE-95-012133'
 'Sivadas2015-PRB-91-235425' 'Stewart2017-AP-66-75'
 'Tateiwa2003-PC-388-527' 'Tateiwa2014-PRB-89-064420'
 'Taufour2011-JPCS-273-012017' 'Taufour2011-PhD'
 'Taufour2011-PhD' 'Terashima2001-PRL-87-16-166401'
 'Terashima2001-PRL-87-16-166401' 'Terashima2002-PRB-65-174501'
 'Terashima2005-PB-359-1060' 'Terashima2006-PRB-73-140406'
 'Troc2002-PMB-82-7-805' 'Yamamoto2004-JMMM-272-e171'
 'Zhang-2018-CPB-27-037501']"
Cu,"[   2.6     3.8     5.      5.      6.6    13.     16.8    32.     34.
   38.     50.     51.     54.     60.     85.    118.    135.    150.
  152.    160.    220.    225.    228.    240.5   284.    295.    318.15
  319.    387.    418.5   425.    428.    486.    548.15  550.    573.
  598.15  623.15  643.15  723.15  723.15 1200.   1220.   1500.  ]","['10.1016/0304-8853(91)90254-8' '10.1016/0921-4534(95)00565-X'
 '10.1016/0925-8388(92)90540-P' '10.1016/S0304-8853(00)01147-1'
 '10.1016/S0304-8853(01)01121-0' '10.1016/S0921-4526(02)01731-3'
 '10.1016/j.ccr.2014.10.005' '10.1016/j.fusengdes.2019.02.005'
 '10.1016/j.fusengdes.2019.02.005' '10.1016/j.ijrefrig.2016.04.013'
 '10.1016/j.intermet.2011.05.004' '10.1016/j.jallcom.2016.03.127'
 '10.1016/j.jallcom.2016.03.127' '10.1016/j.jallcom.2016.03.127'
 '10.1016/j.jallcom.2016.03.127' '10.1016/j.jcrysgro.2003.08.072'
 '10.1016/j.jmmm.2003.12.729' '10.1016/j.jmmm.2004.07.021'
 '10.1016/j.jmmm.2004.11.178' '10.1016/j.jmmm.2004.11.178'
 '10.1016/j.jmmm.2006.08.023' '10.1016/j.jmmm.2011.06.005'
 '10.1016/j.jmmm.2012.09.053' '10.1016/j.jmmm.2016.03.049'
 '10.1016/j.jmmm.2016.03.049' '10.1016/j.jmmm.2017.08.046'
 '10.1016/j.jmmm.2017.08.046' '10.1016/j.jmmm.2017.08.046'
 '10.1016/j.jmmm.2017.08.046' '10.1016/j.jmmm.2019.165830'
 '10.1016/j.jmmm.2020.167207' '10.1016/j.jmr.2012.05.008'
 '10.1016/j.materresbull.2015.10.034' '10.1016/j.physb.2006.01.443'
 '10.1016/j.physc.2015.02.034' '10.1016/j.physleta.2014.09.059'
 '10.1016/j.progsurf.2012.05.003' '10.1016/j.progsurf.2012.05.003'
 '10.1016/j.scriptamat.2020.02.037' '10.1016/j.scriptamat.2020.02.037'
 'Monthoux2007-Nature-450-1177' 'Ni2010-PRB-82-024519'
 'PaponLeblondMeijer2006PhaseTransitions' 'Yonezawa2016-APPS-26']"
Sr1.8La1.2Mn2O7,[125. 125. 125. 130. 130. 210. 211.],"['10.1016/S0304-8853(99)00660-5' '10.1016/S0304-8853(99)00660-5'
 '10.1016/S0921-4526(02)02679-0' '10.1016/S1359-0286(99)00012-1'
 '10.1016/S1359-0286(99)00012-1' '10.1016/j.jmmm.2015.10.100'
 '10.1016/j.jmmm.2016.03.049']"
Tb29.6Co70.4,[500.],['10.1016/j.jmmm.2008.12.007']
Zr7Fe86CuB6,[330.   344.15],['10.1016/S0304-8853(98)00764-1' '10.1016/j.jmmm.2015.08.060']
Zr5Mn2Fe41B2,[262.],['10.1016/j.jmmm.2006.11.017']
Fe2O3,"[ 35.    50.   100.   110.   110.   292.   342.   525.   575.   945.
 963.   963.15]","['10.1016/S0304-8853(00)00113-X' '10.1016/S0304-8853(03)00625-5'
 '10.1016/j.chemphys.2020.111058' '10.1016/j.chemphys.2020.111058'
 '10.1016/j.jallcom.2012.08.056' '10.1016/j.jmmm.2009.02.135'
 '10.1016/j.jmmm.2009.02.135' '10.1016/j.jmmm.2012.01.029'
 '10.1016/j.matchemphys.2018.01.057' '10.1016/j.matchemphys.2018.01.057'
 '10.1016/j.mtcomm.2021.102257' '10.1016/j.physb.2020.412185']"
GdFeCo,[270.   543.15],['10.1016/S0304-8853(02)00460-2' '10.1016/j.jmmm.2020.166478']
H2,"[   3.      6.      6.25   39.     39.     54.     57.     64.    100.
  103.    105.    112.    174.    190.    200.    203.    215.    216.
  240.    275.    298.    330.    336.    340.    390.    391.    420.
  455.    571.   1136.  ]","['10.1016/S0304-8853(01)00282-7' '10.1016/S0925-8388(01)01620-6'
 '10.1016/j.fusengdes.2007.03.055' '10.1016/j.jallcom.2003.08.035'
 '10.1016/j.jallcom.2003.08.081' '10.1016/j.jallcom.2005.03.093'
 '10.1016/j.jallcom.2006.05.121' '10.1016/j.jmmm.2003.12.968'
 '10.1016/j.jmmm.2016.04.006' '10.1016/j.jmr.2019.106574'
 '10.1016/j.physb.2017.10.027' '10.1016/j.pnmrs.2018.05.001'
 '10.1016/j.renene.2020.05.149' '10.1016/j.ssnmr.2009.05.003'
 'Ashcroft2004-PRL-92-187002' 'Bi2019-CMSCE-'
 'Drozdov2019-Nature-569-528' 'Einaga2016-NatPhys-12-835'
 'FloresLivas2012-PRL-108-117004' 'FloresLivas2020-PR-856-1'
 'Geick-Landolt-Bornstein' 'Grockowiak2022-FEM-2-837651'
 'Handbook of Advanced Magnetic Materials' 'Hu2022-JACS-'
 'Hull2003-RPP-66-1865'
 'Out of the Crystal Maze Chapters from The History of Solid State Physics (Lillian Hoddeson, Ernst Braun, Jurgen Teichmann etc.)'
 'Sankar2002-TR-DOD' 'Struzhkin2015-PC-514-77'
 'Zhao2007-Methods-for-Phase-Diagram-Determination'
 'Zhao2007-Methods-for-Phase-Diagram-Determination']"
CsCrF5,[298.],['10.1016/j.pnmrs.2018.05.001']
DyCo2,[ 32.    55.   106.   133.87 136.   138.   140.   140.   143.   293.  ],"['10.1016/j.elspec.2005.01.115' '10.1016/j.elspec.2005.01.115'
 '10.1016/j.intermet.2011.07.012' '10.1016/j.intermet.2011.07.012'
 '10.1016/j.intermet.2017.12.009' '10.1016/j.jallcom.2018.10.169'
 '10.1016/j.jmmm.2004.02.026' '10.1016/j.jmmm.2014.11.011'
 '10.1016/j.jmmm.2018.10.140' 'Sen2013-CPB-22-046101']"
Nd3Co11B4,[388. 392.],['10.1016/S0304-8853(97)00742-7' 'Kervan2011-JRE-29-466']
NdTiFe11,[544. 546. 547. 560. 773.],"['10.1016/S0925-8388(02)01176-3' '10.1016/j.actamat.2019.08.057'
 '10.1016/j.jmmm.2009.11.007' '10.1016/j.jmmm.2015.10.042'
 '10.1016/j.jmmm.2022.169529']"
Dy,"[  2.     5.    10.    20.    25.    28.65  38.    44.    60.    60.
  80.    83.    85.    85.    85.    86.    87.    88.    88.    89.
 105.   110.8  111.   176.   178.   179.   200.   239.   248.   248.
 291.   320.   333.   350.   356.   400.   476.5  676.5  700.  ]","['10.1016/0022-5088(77)90178-3' '10.1016/0038-1098(83)90975-4'
 '10.1016/0304-8853(93)90022-T' '10.1016/S0304-8853(00)00663-6'
 '10.1016/S0304-8853(98)01225-6' '10.1016/S0368-2048(98)00458-7'
 '10.1016/S0921-4526(00)00745-6' '10.1016/S0921-4526(98)00125-2'
 '10.1016/S0925-8388(99)00681-7' '10.1016/j.ceramint.2018.04.075'
 '10.1016/j.cocom.2022.e00666' '10.1016/j.intermet.2010.02.049'
 '10.1016/j.intermet.2019.02.001' '10.1016/j.jallcom.2003.10.016'
 '10.1016/j.jallcom.2011.06.045' '10.1016/j.jallcom.2011.06.045'
 '10.1016/j.jallcom.2018.08.049' '10.1016/j.jallcom.2020.153810'
 '10.1016/j.jallcom.2020.154629' '10.1016/j.jallcom.2020.154629'
 '10.1016/j.jallcom.2020.154666' '10.1016/j.jallcom.2021.158948'
 '10.1016/j.jmmm.2003.12.1377' '10.1016/j.jmmm.2004.06.027'
 '10.1016/j.jmmm.2012.11.012' '10.1016/j.jmmm.2015.07.067'
 '10.1016/j.jmmm.2017.04.007' '10.1016/j.jmmm.2018.08.068'
 '10.1016/j.jmmm.2021.168436' '10.1016/j.jmmm.2021.168749'
 '10.1016/j.jmmm.2021.168749' '10.1016/j.jssc.2016.03.037'
 '10.1016/j.matchemphys.2019.122482' '10.1016/j.matlet.2020.128148'
 '10.1016/j.molstruc.2021.130070' '10.1016/j.poly.2018.10.046'
 '10.1016/j.poly.2018.11.009' 'AllanMackintoshSymposium1996'
 'Schafer1997-JAC-250-565']"
Lu2Fe,[470. 485.],['10.1016/j.jallcom.2004.04.004' '10.1016/j.jmmm.2008.02.040']
KBaMn2(ZnAs)2,[180.],['10.1016/j.commatsci.2014.10.018']
MnGaAs,"[ 44.   58.   77.5 110.  110.  110.  110.  110.  110.  110.  110.  110.
 110.  140.  142.  142.  165.  172.  172.  172.  173.  173.  173.  173.
 190.  190.  200.  350.  400. ]","['10.1016/S0022-0248(02)02204-2' '10.1016/S0022-0248(03)00946-1'
 '10.1016/S0038-1098(02)00073-X' '10.1016/S0038-1098(02)00228-4'
 '10.1016/j.jallcom.2005.12.103' '10.1016/j.jcrysgro.2006.11.134'
 '10.1016/j.jcrysgro.2006.11.134' '10.1016/j.jcrysgro.2011.09.054'
 '10.1016/j.jmmm.2004.09.020' '10.1016/j.jmmm.2005.05.039'
 '10.1016/j.jmmm.2005.10.139' '10.1016/j.jmmm.2005.10.139'
 '10.1016/j.jmmm.2006.05.006' '10.1016/j.jmmm.2006.11.209'
 '10.1016/j.jmmm.2007.08.003' '10.1016/j.jmmm.2008.11.054'
 '10.1016/j.jmmm.2011.12.025' '10.1016/j.jmmm.2012.02.011'
 '10.1016/j.jmmm.2013.04.034' '10.1016/j.jmmm.2013.04.034'
 '10.1016/j.jmmm.2013.04.034' '10.1016/j.jmmm.2013.04.034'
 '10.1016/j.jmmm.2019.165942' '10.1016/j.jnoncrysol.2008.06.026'
 '10.1016/j.mejo.2007.08.001' '10.1016/j.radphyschem.2011.02.005'
 '10.1016/j.spmi.2012.07.005' '10.1016/j.ssc.2004.01.023'
 '10.1016/j.ssc.2020.114172']"
EuRu1212,[115. 133.],['10.1016/j.jmmm.2006.10.090' '10.1016/j.jmmm.2006.10.090']
MnIr,[200.   250.   493.15 520.   613.15 613.15 680.   690.15],"['10.1016/S0304-8853(01)00369-9' '10.1016/j.jmmm.2011.05.003'
 '10.1016/j.jmmm.2011.05.005' '10.1016/j.jmmm.2019.01.007'
 '10.1016/j.jmmm.2019.01.007' '10.1016/j.jmmm.2019.03.044'
 '10.1016/j.jmmm.2019.03.044' '10.1016/j.physb.2004.10.039']"
NiO,"[ 18.    22.    25.    56.    56.    60.   150.   180.   198.   240.
 243.   290.   293.   293.   295.   300.   320.   400.   430.   450.
 460.   470.   500.   520.   520.   520.   520.   520.   520.   520.
 520.15 523.   523.   523.   523.   523.   523.   523.   523.   523.
 523.   523.   523.   523.   523.   523.   523.   523.   523.   523.
 523.   523.   525.   525.   525.   525.   525.   525.   525.   534.
 627.   950.  ]","['10.1016/S0040-6090(02)00021-4' '10.1016/S0301-0104(02)00389-0'
 '10.1016/S0304-8853(00)01155-0' '10.1016/S0304-8853(01)01089-7'
 '10.1016/S0304-8853(01)01089-7' '10.1016/S0304-8853(02)00348-7'
 '10.1016/S0304-8853(03)00352-4' '10.1016/S0304-8853(03)00453-0'
 '10.1016/S0304-8853(98)00541-1' '10.1016/S0304-8853(99)00453-9'
 '10.1016/S0304-8853(99)00453-9' '10.1016/j.apsusc.2014.06.195'
 '10.1016/j.apt.2018.06.018' '10.1016/j.ijleo.2022.169595'
 '10.1016/j.jallcom.2015.06.027' '10.1016/j.jallcom.2015.06.027'
 '10.1016/j.jallcom.2016.05.038' '10.1016/j.jallcom.2017.07.015'
 '10.1016/j.jallcom.2017.07.015' '10.1016/j.jallcom.2020.158123'
 '10.1016/j.jallcom.2020.158123' '10.1016/j.jmmm.2003.11.017'
 '10.1016/j.jmmm.2003.12.151' '10.1016/j.jmmm.2004.02.017'
 '10.1016/j.jmmm.2006.07.020' '10.1016/j.jmmm.2008.07.018'
 '10.1016/j.jmmm.2009.03.039' '10.1016/j.jmmm.2009.06.081'
 '10.1016/j.jmmm.2010.03.001' '10.1016/j.jmmm.2010.03.001'
 '10.1016/j.jmmm.2011.07.042' '10.1016/j.jmmm.2015.02.065'
 '10.1016/j.jmmm.2015.03.028' '10.1016/j.jmmm.2016.02.091'
 '10.1016/j.jmmm.2017.07.045' '10.1016/j.jmmm.2018.05.039'
 '10.1016/j.jmmm.2018.05.039' '10.1016/j.jmmm.2019.03.004'
 '10.1016/j.jmmm.2019.165784' '10.1016/j.jmmm.2019.166362'
 '10.1016/j.jmmm.2021.168343' '10.1016/j.jpcs.2007.06.010'
 '10.1016/j.matchemphys.2017.06.019' '10.1016/j.matchemphys.2022.125916'
 '10.1016/j.materresbull.2012.05.046' '10.1016/j.materresbull.2018.08.020'
 '10.1016/j.materresbull.2018.08.020' '10.1016/j.materresbull.2021.111267'
 '10.1016/j.mseb.2020.115007' '10.1016/j.physb.2019.06.032'
 '10.1016/j.physb.2019.06.032' '10.1016/j.physleta.2009.07.037'
 '10.1016/j.poly.2005.03.158' '10.1016/j.ssc.2008.11.035'
 '10.1016/j.ssc.2008.11.035' '10.1016/j.ssc.2008.11.035'
 '10.1016/j.ssc.2012.03.003' '10.1016/j.surfin.2019.02.002'
 '10.1016/j.surfin.2019.02.002' '10.1016/j.surfin.2019.02.002'
 '10.1016/j.surfrep.2008.12.003' '10.1016/j.tsf.2021.138800']"
EuO,"[ 68.  69.  69.  69.  69.  69.  69.  69.  69.  70.  70.  70.  70.  76.
  77.  80. 123. 125. 150. 150.]","['10.1016/0038-1098(76)90748-1' '10.1016/S0304-8853(01)01177-5'
 '10.1016/S0375-9601(00)00055-4' '10.1016/j.apmt.2020.100640'
 '10.1016/j.apmt.2020.100640' '10.1016/j.cossms.2006.03.002'
 '10.1016/j.jallcom.2005.04.160' '10.1016/j.jallcom.2005.04.160'
 '10.1016/j.jallcom.2005.04.160' '10.1016/j.jallcom.2022.164830'
 '10.1016/j.jallcom.2022.164830' '10.1016/j.jmmm.2009.08.025'
 '10.1016/j.jmmm.2017.11.062' '10.1016/j.jmmm.2019.165900'
 '10.1016/j.jmmm.2021.168964' '10.1016/j.jmmm.2021.168964'
 '10.1016/j.jssc.2013.04.023' '10.1016/j.jssc.2015.04.018'
 '10.1016/j.physb.2017.11.021' 'Nagaev1982-PU-25-31']"
Fe3Si,"[788.   799.   800.   800.15 813.15 823.   839.   840.   840.   840.
 840.  ]","['10.1016/S0304-8853(02)00295-0' '10.1016/S0304-8853(99)00285-1'
 '10.1016/j.intermet.2009.02.010' '10.1016/j.jallcom.2019.05.156'
 '10.1016/j.jeurceramsoc.2011.11.037' '10.1016/j.jmmm.2017.06.010'
 '10.1016/j.jmmm.2018.09.095' '10.1016/j.nimb.2013.09.032'
 '10.1016/j.vacuum.2021.110325' 'Hedlund2017-PRB-96-094433'
 'Hedlund2017-PRB-96-094433']"
CrO2,"[140.   352.   370.   383.   385.   386.   386.   387.   390.   390.
 390.   390.   390.   390.   391.   391.15 392.5  393.5  394.   395.
 395.   395.   395.   396.   400.   414.  ]","['10.1016/S0304-8853(99)00791-X' '10.1016/S0921-5107(03)00259-9'
 '10.1016/S0921-5107(03)00259-9' '10.1016/j.ceramint.2018.02.194'
 '10.1016/j.ceramint.2018.02.194' '10.1016/j.ceramint.2019.11.114'
 '10.1016/j.ceramint.2022.03.153' '10.1016/j.cocom.2022.e00658'
 '10.1016/j.jallcom.2022.166219' '10.1016/j.jmmm.2003.12.572'
 '10.1016/j.jmmm.2004.11.446' '10.1016/j.jmmm.2008.04.159'
 '10.1016/j.jmmm.2009.06.027' '10.1016/j.jmmm.2013.03.025'
 '10.1016/j.jmmm.2015.12.071' '10.1016/j.jmmm.2017.11.106'
 '10.1016/j.jmmm.2017.11.106' '10.1016/j.jmmm.2017.11.106'
 '10.1016/j.jmmm.2017.11.106' '10.1016/j.jmmm.2017.12.080'
 '10.1016/j.physb.2019.07.056' '10.1016/j.powtec.2014.08.012'
 '10.1016/j.solidstatesciences.2017.03.011'
 'Mustonen2016-PRB-93-014405' 'Mustonen2016-PRB-93-014405'
 'Mustonen2016-PRB-93-014405']"
Hf2Co7,[390. 400. 400. 450. 750.],"['10.1016/j.jmmm.2019.166105' '10.1016/j.jmmm.2019.166105'
 '10.1016/j.jmmm.2019.166105' '10.1016/j.jmmm.2021.168042'
 '10.1016/j.jmmm.2021.168042']"
MnNi,[ 970. 1070.],['10.1016/j.jmmm.2003.11.277' '10.1016/j.jmmm.2016.05.043']
Sr0.4Pr0.6Mn0.9Fe0.1O3,[129.],['10.1016/j.physrep.2018.06.009']
Cr2NiO4,"[ 40.   60.   65.   71.   72.   74.   74.   74.   74.   74.   75.   82.4
  84.   87.   98.  107.5 108.5 135.  144.  295.  320.  854. ]","['10.1016/S0921-4526(98)00659-0' '10.1016/j.ceramint.2018.03.024'
 '10.1016/j.ceramint.2019.04.085' '10.1016/j.ceramint.2019.04.085'
 '10.1016/j.ceramint.2019.04.085' '10.1016/j.ceramint.2019.04.085'
 '10.1016/j.ceramint.2020.06.185' '10.1016/j.ceramint.2020.12.177'
 '10.1016/j.jallcom.2019.03.189' '10.1016/j.jallcom.2019.03.189'
 '10.1016/j.jallcom.2020.154139' '10.1016/j.jallcom.2020.154139'
 '10.1016/j.jallcom.2020.154139' '10.1016/j.jmmm.2006.10.1131'
 '10.1016/j.jmmm.2006.10.1131' '10.1016/j.jmmm.2016.11.076'
 '10.1016/j.jmmm.2017.01.090' '10.1016/j.jmmm.2017.10.105'
 '10.1016/j.jmmm.2020.167225' '10.1016/j.jmmm.2020.167225'
 '10.1016/j.molstruc.2021.130769' 'Sen2013-CPB-22-046101']"
Mn33In17Ni50,[188.],['10.1016/j.jmmm.2018.10.036']
Cr2O3,"[ 90.6 150.  230.  250.  290.  298.  300.  305.  307.  307.  307.  307.
 307.  307.  307.  307.  307.  308.  308.  308.  308.  308.  308.  308.
 309.  332.  400. ]","['10.1016/S0304-8853(00)00803-9' '10.1016/S0304-8853(02)01447-6'
 '10.1016/j.apsusc.2012.05.129' '10.1016/j.apsusc.2012.05.129'
 '10.1016/j.apsusc.2012.05.129' '10.1016/j.ceramint.2019.11.114'
 '10.1016/j.jallcom.2011.04.008' '10.1016/j.jallcom.2014.06.038'
 '10.1016/j.jallcom.2014.06.038' '10.1016/j.jallcom.2018.07.031'
 '10.1016/j.jmmm.2004.10.063' '10.1016/j.jmmm.2009.12.016'
 '10.1016/j.jmmm.2011.11.064' '10.1016/j.jmmm.2018.07.067'
 '10.1016/j.jmmm.2018.07.067' '10.1016/j.jmmm.2019.165262'
 '10.1016/j.jmmm.2019.165262' '10.1016/j.jmmm.2021.167980'
 '10.1016/j.jmmm.2021.168271' '10.1016/j.jmmm.2021.168657'
 '10.1016/j.jmmm.2021.168856' '10.1016/j.mtphys.2022.100753'
 '10.1016/j.physb.2006.06.007' '10.1016/j.physb.2019.07.056'
 '10.1016/j.powtec.2014.08.012' '10.1016/j.solidstatesciences.2021.106581'
 '10.1016/j.solidstatesciences.2021.106581']"
NdNi5,[7.2],['10.1016/0304-8853(95)01193-5']
CrI3,"[ 24.   30.   37.   42.   45.   45.   45.   45.   45.   45.   45.   45.
  45.   45.   45.   48.3  55.   61.   61.   61.   61.   62.3  65.   68.
  68.   98.  107.  215.  251.  286.  292.  636. ]","['10.1016/j.apsusc.2021.149858' '10.1016/j.apsusc.2021.151478'
 '10.1016/j.commatsci.2021.110638' '10.1016/j.isci.2021.103623'
 '10.1016/j.jallcom.2022.164573' '10.1016/j.jmmm.2018.12.032'
 '10.1016/j.jmmm.2020.167310' '10.1016/j.jmmm.2021.167772'
 '10.1016/j.jmmm.2021.167772' '10.1016/j.jmmm.2021.167772'
 '10.1016/j.jmmm.2021.168657' '10.1016/j.jmmm.2021.168657'
 '10.1016/j.jmmm.2022.169163' '10.1016/j.jmmm.2022.169163'
 '10.1016/j.jmmm.2022.169163' '10.1016/j.jmmm.2022.169412'
 '10.1016/j.jpcs.2022.110754' '10.1016/j.mtphys.2021.100514'
 '10.1016/j.mtphys.2021.100514' '10.1016/j.nantod.2020.100902'
 '10.1016/j.physb.2019.06.040' '10.1016/j.physe.2020.114205'
 '10.1016/j.physe.2020.114205' '10.1016/j.physe.2021.114939'
 '10.1016/j.physe.2021.115079' '10.1016/j.physe.2021.115079'
 '10.1016/j.physleta.2018.11.038' '10.1016/j.physleta.2018.11.038'
 '10.1016/j.physleta.2020.126754' '10.1016/j.spmi.2021.107081'
 '10.1016/j.susc.2019.121560' 'Huang2017-Nature-546-270']"
Sr2FeMoO6,"[ 37.   225.   380.   380.   396.   400.   400.   401.   410.   410.
 410.   410.   410.   415.   415.   415.   415.   415.   415.   420.
 420.   420.   420.   420.   420.   420.   420.   420.   425.   425.
 430.   430.   430.   436.   450.   450.   450.   450.   453.   688.15]","['10.1016/S0304-8853(00)00404-2' '10.1016/S0304-8853(01)01015-0'
 '10.1016/S0304-8853(01)01017-4' '10.1016/S0304-8853(02)00905-8'
 '10.1016/S0304-8853(99)00373-X' '10.1016/S0304-8853(99)00373-X'
 '10.1016/S0925-8388(01)01281-6' '10.1016/S1359-0286(01)00014-6'
 '10.1016/S1466-6049(99)00069-0' '10.1016/j.ceramint.2011.09.014'
 '10.1016/j.jallcom.2015.06.242' '10.1016/j.jallcom.2018.02.207'
 '10.1016/j.jallcom.2020.155351' '10.1016/j.jmmm.2003.11.351'
 '10.1016/j.jmmm.2003.12.418' '10.1016/j.jmmm.2004.01.053'
 '10.1016/j.jmmm.2004.04.097' '10.1016/j.jmmm.2006.11.008'
 '10.1016/j.jmmm.2009.01.032' '10.1016/j.jmmm.2012.01.029'
 '10.1016/j.jmmm.2013.04.086' '10.1016/j.jmmm.2013.11.027'
 '10.1016/j.jmmm.2018.07.071' '10.1016/j.jmmm.2018.11.098'
 '10.1016/j.jmmm.2019.165553' '10.1016/j.jmmm.2021.168330'
 '10.1016/j.materresbull.2017.10.037' '10.1016/j.physb.2003.08.115'
 '10.1016/j.physb.2007.11.001' '10.1016/j.physb.2007.12.003'
 '10.1016/j.physb.2009.12.013' '10.1016/j.physb.2011.12.117'
 '10.1016/j.solidstatesciences.2006.02.013'
 '10.1016/j.solidstatesciences.2010.05.014' '10.1016/j.ssc.2005.12.011'
 '10.1016/j.ssc.2021.114474' '10.1016/j.tsf.2012.04.069'
 '10.1016/j.ultramic.2016.12.024' 'Deng2016-PRB-94-024414'
 'Handbook_of_Magnetic_Materials_Vol 17-2008']"
